agent_name,team_name,win_pct
Jean,werewolf-team-6,61.54
Kim,werewolf-team-8,57.14
James,werewolf-team-1,51.61
Kelly,werewolf-team-13,48.15
Lisa,werewolf-team-14,44.83
Nate,werewolf-team-28,42.31
Kate,werewolf-team-9,41.94
Otto,werewolf-team-30,41.94
Kevin,werewolf-team-11,41.38
Pedro,werewolf-team-36,41.18
Mary,werewolf-team-21,40.74
Tom,werewolf-team-46,40
Linda,werewolf-team-18,36
Julia,werewolf-team-7,35.48
Jack,werewolf-team-5,32
Mark,werewolf-team-19,30.77
Karl,werewolf-team-10,18.52
Mike,werewolf-team-20,14.71
